"","tsGroup","year"
"1114","G2834-A",5
"1115","G2837-A",5
"1116","G2840-A",17
"1117","G2853-A",8
"1118","G2859-A",8
"1119","G2864-A",10
"1120","G289-A",7
"1121","G2905-A",12
"1122","G291-A",6
"1123","G2912-A",12
"1124","G2914-A",12
"1125","G2915-A",6
"1126","G2916-A",12
"1127","G2917-A",5
"1128","G2924-A",10
"1129","G2925-A",6
"1130","G2934-A",5
"1131","G2937-A",12
"1132","G2951-A",5
"1133","G2959-A",8
"1134","G2959-B",6
"1135","G2961-A",18
"1136","G2964-A",5
"1137","G298-A",9
"1138","G2981-A",8
"1139","G2982-A",10
"1140","G2984-A",5
"1141","G299-A",6
"1142","G300-A",9
"1143","G3017-A",5
"1144","G3018-A",5
"1145","G3019-A",6
"1146","G3022-A",10
"1147","G3028-A",7
"1148","G3030-A",5
"1149","G3030-B",6
"1150","G3031-A",6
"1151","G304-A",8
"1152","G3042-A",6
"1153","G3044-A",5
"1154","G3044-B",13
"1155","G3055-A",10
"1156","G306-A",8
"1157","G3061-A",5
"1158","G3064-A",10
"1159","G3066-A",5
"1160","G3077-A",5
"1161","G3079-A",10
"1162","G3082-A",6
"1163","G3088-A",5
"1164","G3089-A",5
"1165","G3091-A",5
"1166","G3092-A",7
"1167","G3107-A",5
"1168","G311-A",11
"1169","G3111-A",5
"1170","G3116-A",11
"1171","G3117-A",8
"1172","G3118-A",5
"1173","G3126-A",5
"1174","G3137-A",7
"1175","G3141-A",5
"1176","G3141-B",5
"1177","G3143-A",7
"1178","G3145-A",5
"1179","G3158-A",5
"1180","G3159-A",5
"1181","G3163-A",5
"1182","G3164-A",10
"1183","G3179-A",5
"1184","G3183-A",6
"1185","G3194-A",6
"1186","G3197-A",5
"1187","G3199-A",6
"1188","G3199-B",5
"1189","G3205-A",5
"1190","G3205-B",11
"1191","G3205-C",6
"1192","G3207-A",8
"1193","G3219-A",5
"1194","G3222-A",7
"1195","G3223-A",5
"1196","G3223-B",14
"1197","G3225-A",5
"1198","G3227-A",12
"1199","G3232-A",13
"1200","G3237-A",5
"1201","G324-A",9
"1202","G3247-A",10
"1203","G3254-A",13
"1204","G3258-A",5
"1205","G3259-A",5
"1206","G3264-A",5
"1207","G3264-B",5
"1208","G3265-A",6
"1209","G3268-A",6
"1210","G3269-A",14
"1211","G3273-A",13
"1212","G3274-A",14
"1213","G3275-A",11
"1214","G3277-A",6
"1215","G3278-A",8
"1216","G3278-B",5
"1217","G3280-A",12
"1218","G3281-A",6
"1219","G3293-A",5
"1220","G3298-A",13
"1221","G3302-A",6
"1222","G3309-A",7
"1223","G3313-A",5
"1224","G3317-A",9
"1225","G3318-A",6
"1226","G3353-A",9
"1227","G3355-A",9
"1228","G3359-A",6
"1229","G3364-A",10
"1230","G3378-A",12
"1231","G3379-A",7
"1232","G338-A",5
"1233","G340-A",5
"1234","G3407-A",7
"1235","G341-A",5
"1236","G3425-A",9
"1237","G3435-A",10
"1238","G3444-A",8
"1239","G3455-A",9
"1240","G3456-A",6
"1241","G3460-A",5
"1242","G3466-A",6
"1243","G3470-A",6
"1244","G3471-A",5
"1245","G3472-A",6
"1246","G3477-A",9
